RuleFit Results  (223 XGBoost-selected features: 31 ctx + 192 diff)
Accuracy: 0.5873  |  Weighted Acc: 0.6441  |  F1: 0.4352  |  AUC: 0.7624
Non-zero terms: 385  (162 rules, 223 linear terms)

Rank  Type           Coef   Importance   Support  Rule
------------------------------------------------------------------------------------------------------------------------
1     rule        -0.4135       0.1497     0.155  diff_1497_question mark <= -0.56395
2     rule        +0.3679       0.1334     0.156  diff_1497_question mark <= -0.56058
3     rule        -0.2098       0.1014     0.371  diff_11052_How to write clickbait titles <= -0.0125
4     rule        +0.2608       0.0932     0.150  diff_1531_discovery and revelation <= -0.22433
5     rule        +0.1727       0.0833     0.369  diff_11052_How to write clickbait titles <= -0.01529
6     linear      +0.0891       0.0824     1.000  diff_2220_'this'
7     linear      +0.0961       0.0821     1.000  diff_486
8     linear      +0.0799       0.0798     1.000  diff_2892_instructions or problem context
9     linear      +0.0831       0.0796     1.000  diff_11052_How to write clickbait titles
10    linear      +0.0859       0.0782     1.000  diff_1115_describing people or animals
11    linear      -0.0807       0.0756     1.000  diff_12614_regex questions and explanations
12    linear      +0.0825       0.0741     1.000  diff_1531_discovery and revelation
13    linear      -0.0774       0.0712     1.000  diff_538_regulation, risk, and governance
14    linear      +0.0784       0.0711     1.000  diff_1730_remarkable and amazing qualities
15    linear      +0.0844       0.0699     1.000  diff_5439_offensive content
16    linear      +0.0768       0.0695     1.000  diff_433
17    linear      +0.0721       0.0692     1.000  diff_2223_past actions or events
18    linear      -0.0779       0.0689     1.000  diff_444_values, feelings, judgments
19    linear      +0.0725       0.0685     1.000  diff_613_clarifying question
20    rule        -0.1954       0.0655     0.129  diff_1531_discovery and revelation <= -0.20843 and diff_1961_Health and Human Services > -0.06191
21    linear      +0.0706       0.0649     1.000  diff_1170_math and trick questions
22    linear      -0.0654       0.0627     1.000  diff_9410_Empowering, Shaping, Culture, Medina
23    linear      +0.0629       0.0607     1.000  diff_1847_shocking or horrifying scenarios
24    linear      -0.0657       0.0590     1.000  diff_243
25    linear      -0.0582       0.0580     1.000  diff_3_the key idea
26    rule        -0.1194       0.0576     0.631  diff_11052_How to write clickbait titles > -0.01529
27    rule        +0.1116       0.0557     0.529  diff_2220_'this' > -0.11106 and diff_11052_How to write clickbait titles > -0.0125
28    linear      +0.0609       0.0555     1.000  diff_1070_seeing and observing
29    linear      +0.0604       0.0554     1.000  diff_604_harmful unethical behavior
